Type,Drugname,Strength,Pellet Size(mm)
Wellness Health,Estradiol Pellet (Coming soon),6 mg,(3mm)
Wellness Health,Estradiol Pellet (Coming soon),12.5 mg,(3mm)
Wellness Health,Estradiol Pellet (Coming soon),25 mg,(3mm)
Wellness Health,Progesterone Pellet (Coming soon),50 mg,(3mm)
Wellness Health,Progesterone Pellet (Coming soon),50 mg,(3mm)
Wellness Health,Testosterone (Coming soon),25 mg,(3mm)
Wellness Health,Testosterone (Coming soon),50 mg,(3mm)
Wellness Health,Testosterone (Coming soon),100 mg,(3mm)
Wellness Health,Testosterone (Coming soon),200 mg,(4.5mm)
Wellness Health,Testosterone / Anastrozole Pellet (Coming soon),75 mg / 4 mg,(3mm)
Wellness Health,Testosterone / Anastrozole Pellet (Coming soon),100 mg / 4 mg,"
(3mm)"
Wellness Health,Testosterone / Anastrozole Pellet (Coming soon),200 mg / 20 mg,"
(4.5mm)"
Wellness Health,Nandrolone Decanoate (Coming soon),200 mg/mL,5 mL
Wellness Health,Testosterone Cypionate in Grapeseed Oil,200 mg / mL,10 mL
Wellness Health,Testosterone Cypionate in Grapeseed Oil,200 mg / mL,30 mL
Wellness Health,Testosterone  Cypionate / Propionate,200 mg / 10mg / mL,30 mL
Wellness Health,Testosterone Propionate in Grapeseed Oil,100 mg / mL,10 mL
Erectile Dysfunction,Bi-Mix (Papaverine/Phentolamine) (Coming soon),30/1 mg/mL,5 mL
Erectile Dysfunction,Tri-Mix (Papaverine/Phentolamine/Alprostadil) (Coming soon),30/1/10 mcg/mL,5 mL
Erectile Dysfunction,Super Tri-Mix (Papaverine/Phentolamine/Alprostadil) (Coming soon),30/2/20 mcg/mL,5 mL
Erectile Dysfunction,Quad-Mix (Papaverine/Phentolamine/Alprostadil/Atropine) (Coming soon),30/2/20/200 mcg/mL,5 mL
Erectile Dysfunction,Super Quad(Papaverine/Phentolamine/Alprostadil/Atropine) (Coming soon),30/4/40/400 mcg/mL,5 mL
IV Nutrition,Ascorbic Acid,500 mg/mL,50 mL MDV
IV Nutrition,B-Complex (B1/B2/B3/B5/B6),100/2/100/2/2 mg/mL,30 mL MDV
IV Nutrition,Dexpanthenol,250 mg/mL,30 mL MDV
IV Nutrition,Glutathione,200 mg/mL,30 mL MDV
IV Nutrition,L-Arginine,200 mg/mL,30 mL MDV
IV Nutrition,L-Carnitine (Coming soon),250 mg/mL,30 mL MDV
IV Nutrition,Methylcobalamin,1 mg/mL,30 mL MDV
IV Nutrition,Myers Cocktail Ingredients,Contact Us,Contact Us
IV Nutrition,Pyridoxine HCl,100 mg/mL,30 mL MDV
IV Nutrition,Taurine,50 mg/mL,30 mL MDV
IV Nutrition,Zinc (Sulfate),2.5 mg/mL,30 mL MDV
Weight Management,Methionine / Inositol / Choline chloride  (MIC),25 / 50 / 50 mg / mL,30 mL MDV
Steoids/Intra-Articular Injections,Methylprednisolone Acetate,40 mg/mL,10 mL MDV
Steoids/Intra-Articular Injections,Methylprednisolone Acetate,80 mg/mL,5 mL MDV
Steoids/Intra-Articular Injections,Triamcinolone Acetate,40 mg/mL,10 mL MDV
Steoids/Intra-Articular Injections,Hyaluronic acid,11 mg/mL,2 mL PF Syringe
Opthalmology,Bevacizumab (Repackaged),25 mg/mL,0.1 mL PF Syringe
Opthalmology,Moxifloxacin,5 mg/mL,1 mL SDV
Opthalmology,Tropicamide / Phenylephrine,1% / 5%,12 mL Dropper
Pain Management,IV BAGS,,
Pain Management,Fentanyl Citrate,10 mcg / 1mL NS,100 mL IV Bag
Pain Management,Morphine Sulfate,1 mg / 1 mL D5W,100 mL IV Bag
Pain Management,Midazolam,1 mg / 1 mL NS,100 mL IV Bag
Pain Management,PAIN PUMPS,,
Pain Management,Ropivacaine,2 mg/mL,400 mL
Pain Management,Ropivacaine,2 mg/mL,550 mL
Pain Management,Ropivacaine,2 mg/mL,750 mL
Pain Management,Bupivacaine,1.25 mg/mL,750 mL
Pain Management,Syringes,,
Pain Management,Midazolam,5 mg/mL,30 mL
Pain Management,Hydromorphone,1 mg/mL,30 mL
Pain Management,Morphine Sulfate,5 mg/mL,30 mL
Pain Management,Fentanyl Citrate,50 mcg/mL,30 mL PCA
Non-Sterile Topicals,Benzocaine / Lidocaine / Tetracaine Cream with DMSO,20% / 10% / 6%,30 g Jar
Non-Sterile Topicals,Lidocaine / Tetracaine Ointment,23% / 7%,75 g Jar
Non-Sterile Topicals,Tetracaine Gel,6%,10 mL Syringe
Non-Sterile Topicals,Tretinoin Solution,0.30%,60 mL Dropper
Non-Sterile Topicals,Cantharidin,0.70%,10 mL Dropper
Peptides,GHRP2/GHRP6/Sermorelin Acetate (LYO) (Coming soon),3 / 3 / 3  mg,Each
Peptides,GHRP2/GHRP6/Sermorelin Acetate (LYO) (Coming soon),15 / 3 / 6 mg,Each
Peptides,GHRP2/GHRP6/Sermorelin Acetate (LYO) (Coming soon),20 / 6 / 15 mg,Each
Peptides,GHRP2/Sermorelin Acetate (LYO) (Coming soon),1.8 / 3 mg,Each
Peptides,GHRP2/Sermorelin Acetate (LYO) (Coming soon),3 / 3 mg,Each
Peptides,GHRP2/Sermorelin Acetate (LYO) (Coming soon,4.5 / 4.5 mg,Each
Peptides,GHRP2/Sermorelin Acetate (LYO) (Coming soon),15 / 9 mg,Each
Peptides,HCG (Lyo)  (Coming soon),3000 IU,Each
Peptides,HCG (Lyo)  (Coming soon),5000 IU,Each
Peptides,HCG (Lyo)  (Coming soon),10000 IU,Each
Peptides,HCG (Lyo)  (Coming soon),50000 IU,Each
Peptides,Ipamorelin Acetate  (Coming soon),9 mg,Per Kit
Peptides,Ipamorelin Acetate  (Coming soon),15 mg,Per Kit
Peptides,Sermorelin Acetate  (Coming soon),6 mg,Per Kit
Peptides,Sermorelin Acetate  (Coming soon),9 mg,Per Kit
Peptides,Sermorelin Acetate  (Coming soon),15 mg,Per Kit
Commercial Products (subject to availability),Bacteriostatic Sodium Chloride,0.90%,30 mL MDV
Commercial Products (subject to availability),Bacteriostatic Water for Injection,N/A,30 mL  MDV
Commercial Products (subject to availability),Bupivacaine,0.25%,50 mL MDV
Commercial Products (subject to availability),Calcium Gluconate,10%,Variable SDV
Commercial Products (subject to availability),Folic Acid,5 mg/mL,10 mL MDC
Commercial Products (subject to availability),FreAmine III,10%,1 Liter IV Bag
Commercial Products (subject to availability),Ketamine Inj,50 mg/mL,10 mL
Commercial Products (subject to availability),Ketamine Inj,100 mg/mL,5 mL
Commercial Products (subject to availability),Ketorolac Tromethaine,30 mg/mL,Variable SDV
Commercial Products (subject to availability),Lactated Ringers,N/A,Variable
Commercial Products (subject to availability),Lidocaine HCl,1%,Variable MDV
Commercial Products (subject to availability),Lidocaine HCl,2%,Variable MDV
Commercial Products (subject to availability),Lidocaine HCl / Epinephrine,"1% / 1:100,000",50 mL MDV
Commercial Products (subject to availability),Lidocaine HCl / Epinephrine,"2% / 1:100,000",50 mL MDV
Commercial Products (subject to availability),Magnesium Chloride,200 mg/mL,50 mL MDV
Commercial Products (subject to availability),Multitrace-5,N/A,10 mL MDV
Commercial Products (subject to availability),Ondansetron,2 mg/mL,20 mL MDV
Commercial Products (subject to availability),Selenium,40 mcg/mL%,10 mL SDV
Commercial Products (subject to availability),Sodium Bicarbonate Injection,8.40%,50 mL SDV
Commercial Products (subject to availability),Sodium Chloride Injection,0.90%,Variable
Commercial Products (subject to availability),Sterile Water for Injection,N/A,Variable
Commercial Products (subject to availability),Testosterone Cypionate in CottonSeed Oil,200 mg/ ml,10mL Vial MDV
Commercial Products (subject to availability),Zinc (Chloride),1 mg/mL,10mL Vial SDV
Miscellaneous Products,Naloxone,1 mg/mL,2 mL
Miscellaneous Products,Phenol,6%,10 mL
Miscellaneous Products,Oxytocin Nasal Spray,50 IU/mL,10 mL
Miscellaneous Products,Ketamine Nasal Spray,100 mg/mL,10 mL
Miscellaneous Products,Syringes / Needles,,
Miscellaneous Products,Subcutaneous Use,Syringe w/Needle,"29 g x 1/2"" 0.5 mL"
Miscellaneous Products,Subcutaneous Use,Syringe w/Needle,"
29 g  x 1/2"" 1 mL"
Miscellaneous Products,Subcutaneous Use,Syringe w/Needle,"30 g x 1/2"" 1 mL"
Miscellaneous Products,Insulin Syringes,Syringe w/Needle,"30 g x 5/16"" 0.5 mL"
Miscellaneous Products,Insulin Syringes,Syringe w/Needle,"30 g x 5/16"" 0.3 mL"
Miscellaneous Products,Insulin Syringes,Syringe w/Needle,"30 g x 5/16"" 1 mL
"
Miscellaneous Products,Insulin Syringes,Syringe w/Needle,"31 g x 5/16"" 0.5 mL"
Miscellaneous Products,Insulin Syringes,Syringe w/Needle,"31 g x 5/16"" 1 mL"
Miscellaneous Products,Intramuscular Syringes,Syringe w/Needle,"18 g x 1.5"" 3 mL"
Miscellaneous Products,Intramuscular Syringes,Syringe w/Needle,"
20 g x 1"" 3 mL"
Miscellaneous Products,Intramuscular Syringes,Syringe w/Needle,"
20 g x 1.5"" 3 mL"
Miscellaneous Products,Intramuscular Syringes,Syringe w/Needle,"21 g x 1"" 3 mL"
Miscellaneous Products,Needles,"Needle
","18 g x 1"""
Miscellaneous Products,Needles,"Needle
","
20 g x 1"""
Miscellaneous Products,Needles,"Needle
","
21 g x 1"""
Miscellaneous Products,Needles,"Needle
","
22 g x 1"""
Miscellaneous Products,Needles,"Needle
","

23 g x 1"""
Miscellaneous Products,Needles,"Needle
","
25 g x 1"""
Miscellaneous Products,Needles,"Needle
","27 g x 0.5"""
Miscellaneous Products,Alcohol Prep Pads,100 Box Count,Prep Pads
